Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO2 emissions per capita,Consumption-based carbon intensity (Kg/$),Annual GDP Growth,Fossil fuel consumption per capita (TWh)
-0.30579594,-0.91732794,-0.41620773,-0.77348226,-0.3595206,-0.54624456,0.06833194,-0.7242298,-0.46548694
-0.24807301,-0.9043397,-0.7599406,-0.60142785,0.28065246,-0.70533556,-0.3106689,-0.16846564,-0.85160154
-0.14760154,-0.9433099,-0.56364095,-0.7101738,0.16783576,-0.6384916,-0.30411124,-0.17268792,-0.73634005
0.52100426,-0.8650213,-0.73447317,-0.38146028,0.6062366,-0.89429075,0.096323594,-0.7420475,-0.3757618
-0.47466215,-0.93494177,-0.3039752,-1.0358455,-0.012635663,-0.5509485,-0.26797202,0.002538346,-0.7813967
0.1647098,-1.0212338,-0.98522484,-0.9761703,-0.6020395,-0.6354467,-0.3548569,-0.87747526,-0.6204942
0.031740703,-0.96201676,-0.9311484,-1.0014379,-0.6071178,-0.54125446,-0.16619207,-0.81433535,-0.63680404
-0.4848002,-0.6937651,-0.9225358,-0.7081073,0.55743915,-0.81678087,-0.33501768,-0.17769307,-1.0309788
0.10842201,-0.9633832,-0.9930434,-0.98207885,0.16244243,-0.72540426,-0.7021061,-0.75904256,-0.89878726
-0.06973704,-0.9692658,-0.95461667,-0.9848534,-0.42797834,-0.5934039,-0.13974686,-0.83264273,-0.7405957
-0.064827226,-0.9773585,-0.9431599,-0.94106436,-0.602367,-0.533788,-0.070369735,-0.9059497,-0.69702286
-0.17425081,-0.97870463,-0.8386773,-0.9268971,-0.17609496,-0.59668314,-0.29926017,-0.6412135,-0.7752816
-0.429085,-0.9240173,-0.36166632,-1.0357127,-0.00244984,-0.52912897,-0.30004972,-0.05692807,-0.74491763
-0.2300539,-0.96084994,-0.8562622,-0.93712336,-0.40002853,-0.55424696,-0.06887142,-0.7234172,-0.71697056
-0.1099591,-0.90388584,-0.5949393,-0.50876224,0.20326202,-0.6495945,-0.20042343,-0.1696409,-0.7075007
