Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO₂ emissions per capita,Consumption-based carbon intensity (Kg/$),Annual GDP Growth,Fossil fuel consumption per capita (TWh)
-0.16539416,-1.0059361,-0.99338335,-0.9919194,-0.55319375,-0.551139,-0.05927519,-0.93045557,-0.6797174
-0.21087328,-0.96596193,-0.5798842,-0.81428915,0.118302576,-0.63526523,-0.34182042,-0.22429657,-0.76937765
-0.60327184,-0.9563528,-0.86688715,-0.8489255,0.17410173,-0.59252256,-0.13438949,0.096644394,-0.6624242
-0.116715394,-0.92815506,-0.6341474,-0.5548974,0.20486434,-0.6602554,-0.26643643,-0.21826836,-0.7480059
-0.039619878,-0.9945053,-0.9594384,-0.96814764,-0.51361126,-0.58812004,-0.16551475,-0.8596311,-0.6920971
0.8837841,-1.014687,-1.0017092,-1.0135818,-0.43397957,-0.6799623,-0.489613,-0.6278403,-0.0647832
-0.43889818,-0.7598742,-0.94802284,-0.69964856,0.451347,-0.8130948,-0.34080002,-0.19375339,-1.0145291
0.78993237,-1.0473156,-0.918311,-1.0329652,-0.93010885,-0.77894706,-1.0002917,-0.80301005,-0.6025688
0.9903966,-1.0307463,-1.0137475,-1.0290883,-0.3671621,-0.71441174,-0.47009978,-0.6242314,0.028676871
-0.79711306,-0.9667578,-1.0171683,-0.9632266,0.017668989,-0.5476448,0.062262226,0.09448104,-0.66574633
-0.25497136,-0.9646919,-0.72407466,-0.8527097,0.26779914,-0.62092066,-0.501422,0.5934192,-0.6821749
-0.59888375,-0.73271,-0.8504014,-0.87885624,0.43004215,-0.6911295,-0.23565896,0.16758212,-0.83257204
-0.13653925,-1.0536194,-1.0645918,-0.9470157,-0.5142759,-0.59831184,0.006959487,-0.96437037,-0.7152631
0.9329589,-1.0324448,-0.8872967,-0.69233626,0.6434251,-0.99608535,-0.09729557,-1.049055,-0.30993953
0.7109284,-0.9886228,-0.90067613,-0.96277887,-0.816915,-0.7580984,-0.9730913,-0.69713503,-0.6565697
0.95270616,-0.9618197,-0.82306886,-0.6281403,0.71571106,-1.0045278,0.039134044,-1.0297666,-0.3102307
0.43210766,-1.2064239,-1.1434656,-1.0370264,-0.49234957,-0.6448578,-0.41842347,-0.84639543,-0.25872514
-0.87118244,-0.99299955,-1.0228077,-0.95961607,0.102522776,-0.5513447,-0.006832134,0.110365935,-0.6643543
-0.22277158,-0.97476023,-0.959641,-0.94072086,-0.48993868,-0.5801996,-0.048313987,-0.92160827,-0.72646594
-0.13717103,-0.94170713,-0.6170636,-0.5590467,0.20849863,-0.673729,-0.2508893,-0.19202113,-0.7526316
0.6186703,-0.8634184,-0.7931654,-0.24711998,0.67042875,-0.9595731,0.24396174,-0.89788586,-0.32266465
0.75652874,-0.9929786,-0.9169519,-0.9730224,-0.80588955,-0.70280117,-0.8447028,-0.71847963,-0.5858979
0.72566265,-1.2979543,-1.1951606,-0.75624025,0.17892976,-0.9740415,-0.26235366,-1.2220463,-0.29191783
0.8599174,-0.9917841,-0.895504,-0.9886276,-0.996231,-0.7522891,-1.0264138,-0.7078383,-0.61426866
0.7454474,-1.1064047,-1.0757596,-1.0516373,-0.41953284,-0.6522576,-0.4072805,-0.7190235,-0.06994277
0.99374056,-1.0231829,-1.0274804,-0.9987644,-0.38695258,-0.70398414,-0.4502159,-0.62287664,0.08684057
-0.14453548,-0.9174226,-0.6933433,-0.58355176,0.2004981,-0.66333854,-0.28195912,-0.22933388,-0.78351736
-0.5062344,-0.95459163,-0.3532624,-1.0435945,0.01299021,-0.565307,-0.30367967,0.012379386,-0.7846621
-0.7152145,-0.9161804,-0.82095766,-0.96516037,0.23269908,-0.56854814,-0.26695108,0.48174396,-0.65853477
0.9796958,-1.0389596,-0.82589793,-0.93999904,-0.13115604,-0.46063745,-0.54879427,-0.4724175,-0.7595212
0.9406392,-0.9813381,-0.88692135,-0.73975694,0.5366706,-0.9808548,-0.09392528,-0.94508815,-0.27863562
0.96784127,-1.0098797,-0.90124977,-0.91827846,-0.013374537,-0.72931147,-0.38797435,-0.68057895,-0.3244685
-0.69377196,-0.067616,-0.54167473,-0.85348254,1.1356472,-0.82240397,0.006645668,0.12001846,-0.9827609
0.8602221,-0.9985782,-0.97141147,-1.003376,-0.34704262,-0.7004464,-0.4603613,-0.5935059,0.02104548
0.9663789,-0.99661213,-0.9255176,-0.94843715,-0.2019466,-0.65209156,-0.47397053,-0.61245483,-0.3169991
-0.055206828,-1.0197477,-0.96489495,-0.97764516,-0.5836233,-0.5972753,-0.11125533,-0.9557434,-0.7003665
-0.38041112,-0.87261105,-1.0175326,-0.68157697,0.34237367,-0.8086864,-0.38311267,-0.26997042,-0.97786355
0.9316875,-1.0230966,-0.9265896,-1.0257705,-0.5177167,-0.63189614,-0.7911586,-0.6766944,-0.764905
0.041302122,-0.9613993,-1.0161011,-0.96237624,0.18784289,-0.7371336,-0.70261604,-0.7747422,-0.899968
-0.20238957,-0.9204117,-0.71253663,-0.5727261,0.25277305,-0.67980564,-0.2807629,-0.16963217,-0.81062394
0.8682965,-1.0856639,-1.079778,-1.0600955,-0.40000337,-0.68480235,-0.4520839,-0.7003324,-0.008769747
-0.06784142,-0.9130473,-0.58999,-0.5017116,0.192795,-0.65030867,-0.22225975,-0.18335408,-0.70263004
