Carbon Finance Index,"Agriculture, forestry, and fishing, value added USD",Trade in USD,Fossil fuel subsidies in USD,Carbon intensity of energy production (Kg/KWh),Imported or exported CO2 emissions per capita,Annual GDP Growth,Fossil fuel consumption per capita (TWh),Consumption-based carbon intensity (Kg/$)
-0.104190044,-0.8828244,-0.8723677,-0.7648849,0.17463444,-0.73013854,-0.5426891,-0.88234234,-0.50551504
-0.12759887,-0.91044486,-0.5886313,-0.5166431,0.22548686,-0.6671396,-0.17105117,-0.73244363,-0.20747234
-0.08859906,-0.9198445,-0.5728947,-0.48705414,0.24760114,-0.6754014,-0.17137022,-0.7026086,-0.18318734
-0.055555545,-0.91272855,-0.53618217,-0.48116162,0.21326987,-0.64903533,-0.17542556,-0.6632384,-0.17885196
0.22986037,-1.0014349,-0.84368086,-0.9145637,-0.61443305,-0.6776971,-0.80802983,-0.6345336,-0.58170426
-0.51193666,-0.94451666,-0.3441834,-1.0144161,0.1033846,-0.5760207,-0.05350338,-0.7903649,-0.31546983
0.7610622,-1.0000529,-0.92372036,-1.022836,-0.91007876,-0.76454103,-0.7384295,-0.6549537,-1.0537087
-1.1406841,-0.9905871,-0.9484658,-0.97543776,0.24421969,-0.5559253,0.19024964,-0.6435628,-0.050739586
0.57565576,-0.9217612,-0.7240303,-0.7315555,0.11996053,-0.57103044,-0.3858329,-0.6783905,-0.3287077
-0.1581294,-0.98532844,-0.9415676,-0.9352531,-0.46893454,-0.58998984,-0.9106056,-0.6717099,-0.1506651
-0.28210634,-0.83085823,-0.92175263,-0.6823932,0.3316232,-0.78932774,-0.20849366,-0.9959704,-0.31601083
-0.47772023,0.5871659,0.5486581,-0.30523393,0.7601902,-0.77575886,0.06734591,-0.70883244,0.65565884
-1.0195416,-0.99050856,-0.9556372,-0.9680418,0.19700865,-0.54985994,0.14663477,-0.64822483,-0.037481517
0.98108834,-0.99900466,-0.96057403,-1.0062044,-0.34656614,-0.68357354,-0.6281126,-0.13084914,-0.46402118
-0.25142327,-0.8477503,-0.81014633,-0.6162983,0.2915011,-0.7447902,-0.21065022,-0.870764,-0.27460438
0.95884705,-0.9426817,-0.85049605,-0.7856406,0.23572351,-0.8486431,-0.83859545,-0.20473479,-0.12620397
-0.50358355,-0.9567791,-0.3571949,-0.99865365,0.06254746,-0.5593715,-0.05054353,-0.75819695,-0.2965545
-0.72715676,-0.96442425,-0.683454,-0.9700442,0.105245486,-0.55691403,0.02609329,-0.69698477,-0.14959146
0.093243726,-0.95559466,-0.9532049,-0.9442914,0.13509744,-0.7373683,-0.7764976,-0.8792138,-0.6784843
-0.31885135,-0.8358898,-0.95604503,-0.702667,0.347291,-0.8153058,-0.25949433,-0.99657834,-0.33161992
-0.98028594,-0.987985,-0.9246949,-0.9556623,0.20866096,-0.5601136,0.11767514,-0.6559124,-0.026385427
